"I.D. Faena";"N° Orden";"Fecha";"Clasifica";"Código";"Cuartel/Potrero";"Cultivo";"Variedad";"Faena";"Labor";"Total Faena";"Realizada";"Total Jornadas";"Trabajador";"Usuario Login";"Usuario";"Est.Fenologico";"Forma Pago";"Estado Faena"
"81.079";"81079";"11-03-2026";"EEI";"EEI 1";"7 - Ha:6.010, Pl:13050";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 128,5";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.078";"81078";"11-03-2026";"EEI";"EEI 1";"4 - Ha:6.310, Pl:13708";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 186,8";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.036";"81036";"11-03-2026";"EEI";"EEI 1";"8 - Ha:4.830, Pl:10585";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 234,4";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.035";"81035";"11-03-2026";"EEI";"EEI 1";"7 - Ha:6.010, Pl:13050";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 158,2";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.034";"81034";"11-03-2026";"EEI";"EEI 1";"2 - Ha:2.850, Pl:6237";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 69,0";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.033";"81033";"11-03-2026";"EEI";"EEI 1";"1 - Ha:3.130, Pl:6808";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 74,9";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.904";"1552";"11-03-2026";"EEIII";"EEIII 4";"46 - Ha:3.830, Pl:6382";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 190,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.903";"1552";"11-03-2026";"EEIII";"EEIII 4";"43 - Ha:4.230, Pl:7055";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 210,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.902";"1552";"11-03-2026";"EEIII";"EEIII 4";"40 - Ha:4.230, Pl:7055";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 210,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.901";"1552";"11-03-2026";"EEIII";"EEIII 3 B";"37 - Ha:4.260, Pl:7055";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 211,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.900";"1552";"11-03-2026";"EEIII";"EEIII 3 B";"34 - Ha:4.260, Pl:7055";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 211,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.899";"1552";"11-03-2026";"EEIII";"EEIII 3 B";"31 - Ha:4.260, Pl:7055";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 211,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.898";"1552";"11-03-2026";"EEIII";"EEIII 3 A";"28 - Ha:4.280, Pl:7050";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 212,2";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.897";"1552";"11-03-2026";"EEIII";"EEIII 3 A";"23 - Ha:3.640, Pl:5986";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 181,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.072";"81072";"10-03-2026";"EEI";"EEI 2";"14 - Ha:5.110, Pl:8360";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 71,4";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.071";"81071";"10-03-2026";"EEI";"EEI 2";"12 - Ha:2.290, Pl:3814";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 39,2";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.070";"81070";"10-03-2026";"EEI";"EEI 2";"11 - Ha:4.070, Pl:6647";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 30,9";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.069";"81069";"10-03-2026";"EEI";"EEI 2";"10 - Ha:1.640, Pl:2685";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 57,1";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.068";"81068";"10-03-2026";"EEI";"EEI 2";"3 - Ha:6.310, Pl:13708";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 114,2";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.049";"81049";"10-03-2026";"EEI";"EEI 2";"12 - Ha:2.290, Pl:3814";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 40,4";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.048";"81048";"10-03-2026";"EEI";"EEI 2";"11 - Ha:4.070, Pl:6647";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 47,6";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.047";"81047";"10-03-2026";"EEI";"EEI 2";"6 - Ha:2.030, Pl:4418";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 71,4";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.046";"81046";"10-03-2026";"EEI";"EEI 2";"5 - Ha:4.580, Pl:7494";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 158,2";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.045";"81045";"10-03-2026";"EEI";"EEI 2";"3 - Ha:6.310, Pl:13708";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 103,5";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.896";"1551";"10-03-2026";"EEIII";"EEIII 4";"45 - Ha:4.260, Pl:7100";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 213,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.895";"1551";"10-03-2026";"EEIII";"EEIII 4";"42 - Ha:4.230, Pl:7055";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 211,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.894";"1551";"10-03-2026";"EEIII";"EEIII 4";"39 - Ha:4.230, Pl:7055";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 211,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.893";"1551";"10-03-2026";"EEIII";"EEIII 3 B";"36 - Ha:4.320, Pl:7140";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 216,7";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.892";"1551";"10-03-2026";"EEIII";"EEIII 3 B";"33 - Ha:4.260, Pl:7056";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 213,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.891";"1551";"10-03-2026";"EEIII";"EEIII 3 B";"30 - Ha:4.320, Pl:7140";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 216,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.890";"1551";"10-03-2026";"EEIII";"EEIII 3 A";"27 - Ha:2.850, Pl:4648";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 142,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.889";"1551";"10-03-2026";"EEIII";"EEIII 3 A";"26 - Ha:2.800, Pl:4565";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 140,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.888";"1551";"10-03-2026";"EEIII";"EEIII 3 A";"22 - Ha:3.640, Pl:5986";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 182,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.040";"81040";"09-03-2026";"EEI";"EEI 1";"9 - Ha:6.730, Pl:14642";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 335,5";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.039";"81039";"09-03-2026";"EEI";"EEI 1";"4 - Ha:6.310, Pl:13708";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 116,6";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.038";"81038";"09-03-2026";"EEI";"EEI 1";"2 - Ha:2.850, Pl:6237";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 70,2";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.037";"81037";"09-03-2026";"EEI";"EEI 1";"1 - Ha:3.130, Pl:6808";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 77,3";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.032";"81032";"09-03-2026";"EEI";"EEI 1";"8 - Ha:4.830, Pl:10585";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 234,4";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.031";"81031";"09-03-2026";"EEI";"EEI 1";"7 - Ha:6.010, Pl:13050";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 158,2";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.030";"81030";"09-03-2026";"EEI";"EEI 1";"2 - Ha:2.850, Pl:6237";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 69,0";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.029";"81029";"09-03-2026";"EEI";"EEI 1";"1 - Ha:3.130, Pl:6808";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 74,9";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.881";"1549";"09-03-2026";"EEII";"EEII 1";"4 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,6";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.880";"1549";"09-03-2026";"EEII";"EEII 1";"3 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.879";"1549";"09-03-2026";"EEII";"EEII 1";"2 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.878";"1549";"09-03-2026";"EEII";"EEII 2";"17 - Ha:3.430, Pl:7544";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 170,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.877";"1549";"09-03-2026";"EEII";"EEII 2";"16 - Ha:4.900, Pl:8160";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 243,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.876";"1549";"09-03-2026";"EEII";"EEII 1";"1 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.868";"1547";"08-03-2026";"EEII";"EEII 1";"8 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.867";"1547";"08-03-2026";"EEII";"EEII 1";"7 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,5";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.866";"1547";"08-03-2026";"EEII";"EEII 1";"6 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.865";"1547";"08-03-2026";"EEII";"EEII 1";"5 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.864";"1547";"08-03-2026";"EEII";"EEII 2";"21 - Ha:3.190, Pl:5211";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 158,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.863";"1547";"08-03-2026";"EEII";"EEII 2";"19 - Ha:3.590, Pl:5867";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 178,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
